fecha,temperatura,humedad,radiacion_solar,precipitacion,zona,tipo_suelo,ph_suelo,nitrogeno,fosforo,potasio,cultivo,rendimiento
2018-03-23,17.25,90.31,17.47,12.62,El Poblado,organico,5.9,99.94,30.9,29.06,cilantro,17.982525726037537
2018-03-24,17.82,89.24,16.01,5.41,El Poblado,franco,5.66,67.82,27.96,73.1,cilantro,17.666551784015706
2018-03-25,18.45,84.5,15.87,0.58,El Poblado,organico,7.17,34.52,72.63,116.5,fresa,17.018820016385
2018-03-26,18.34,86.38,17.67,3.02,El Poblado,arcilloso,5.66,88.68,59.52,53.38,fresa,17.631160093989923
2018-03-27,18.99,83.61,18.89,1.89,El Poblado,arcilloso,5.68,114.07,34.19,145.76,zanahoria,18.00791253578537
2018-03-28,18.21,91.36,16.6,3.11,El Poblado,arenoso,6.35,77.25,26.23,102.87,tomate,18.13537877484339
2018-03-29,17.84,87.54,9.38,4.97,El Poblado,franco,5.77,29.87,22.46,48.26,zanahoria,16.15339172258741
2018-03-30,17.35,89.96,12.37,4.7,El Poblado,organico,7.33,25.48,31.94,123.17,lechuga,17.036887594456974
2018-03-31,16.97,93.07,15.51,15.79,El Poblado,arenoso,6.44,99.59,18.79,147.99,espinaca,18.49671404313373
2018-04-01,16.95,91.55,14.51,7.37,El Poblado,organico,6.64,82.61,20.17,52.38,fresa,17.81789661273591
2018-04-02,17.28,90.43,11.18,15.67,El Poblado,organico,7.36,112.27,64.36,126.93,cilantro,16.87318113939425
2018-04-03,17.21,88.88,14.09,5.27,El Poblado,arenoso,6.56,74.73,14.46,147.04,zanahoria,17.4435317603955
2018-04-04,17.37,90.49,15.19,11.81,El Poblado,arenoso,6.21,26.24,40.75,48.7,espinaca,18.088245525061264
2018-04-05,16.61,94.79,17.79,18.81,El Poblado,arenoso,7.09,60.37,38.35,50.49,lechuga,18.97906026742054
2018-04-06,16.65,87.12,13.06,4.31,El Poblado,arenoso,6.39,85.8,77.21,113.22,espinaca,16.21805753826455
2018-04-07,16.72,88.78,16.26,1.86,El Poblado,arenoso,6.14,58.49,42.59,143.59,espinaca,17.444679094006176
2018-04-08,17.69,86.02,20.35,2.04,El Poblado,organico,6.95,119.96,21.26,110.39,tomate,18.19017489220855
2018-04-09,18.34,85.58,21.11,11.36,El Poblado,arenoso,7.1,60.54,16.19,85.6,lechuga,19.046481328707262
2018-04-10,16.21,93.13,12.16,14.63,El Poblado,franco,7.08,74.62,61.27,33.68,espinaca,17.510034498763027
2018-04-11,16.24,92.29,14.22,13.1,El Poblado,arcilloso,7.46,42.54,20.34,140.17,cilantro,17.491549951830297
2018-04-12,16.51,89.43,13.33,9.58,El Poblado,arenoso,7.07,35.21,75.66,28.98,cilantro,17.274714058003152
2018-04-13,16.28,94.81,14.57,19.46,El Poblado,arenoso,7.04,84.53,49.14,47.5,tomate,18.44022907291883
2018-04-14,16.7,93.35,17.11,3.79,El Poblado,organico,7.21,78.86,38.12,78.6,fresa,17.965795688692424
2018-04-15,17.84,89.23,19.45,5.86,El Poblado,arenoso,5.5,20.43,57.9,85.08,lechuga,18.383708808583748
2018-04-16,17.34,93.77,11.99,6.93,El Poblado,arenoso,6.22,48.48,23.92,27.17,espinaca,17.26434591137129
2018-04-17,17.67,89.36,13.09,1.19,El Poblado,arenoso,6.98,84.36,36.76,30.7,tomate,17.271888042337103
2018-04-18,17.28,92.01,13.05,1.56,El Poblado,organico,6.7,101.22,12.34,36.27,cilantro,17.249525173150296
2018-04-19,17.81,88.46,20.25,0.87,El Poblado,arenoso,5.86,51.24,71.44,25.16,zanahoria,18.20383322668821
2018-04-20,16.85,86.72,15.45,0.16,El Poblado,arcilloso,6.11,84.74,39.77,147.07,espinaca,16.807105506020626
2018-04-21,18.0,85.64,19.17,3.68,El Poblado,organico,6.17,46.53,63.12,50.93,cilantro,17.934680605934695
2018-04-22,17.08,92.4,13.03,1.63,El Poblado,arcilloso,6.64,89.04,74.18,134.34,zanahoria,16.967872320526276
2018-04-23,17.68,86.98,23.04,1.11,El Poblado,organico,7.16,89.79,55.7,121.96,espinaca,18.525998294387286
2018-04-24,18.21,88.85,16.55,1.31,El Poblado,arenoso,7.36,33.02,36.3,111.77,lechuga,17.512679994620907
2018-04-25,17.26,95.82,17.02,8.54,El Poblado,arcilloso,7.0,86.51,53.37,105.53,cilantro,18.456052390619355
2018-04-26,17.48,91.53,18.29,21.82,El Poblado,organico,7.19,53.36,35.22,84.82,tomate,19.157764326368962
2018-04-27,17.59,92.36,13.5,8.61,El Poblado,franco,6.44,37.26,49.71,93.3,tomate,17.778361555367
2018-04-28,17.89,88.32,14.96,3.63,El Poblado,arenoso,6.28,70.04,40.25,135.79,tomate,17.249557271891543
2018-04-29,17.79,89.19,13.59,0.58,El Poblado,organico,6.29,65.23,20.49,121.08,zanahoria,16.89850287145223
2018-04-30,17.9,89.86,21.26,0.0,El Poblado,franco,6.73,97.39,64.61,50.01,tomate,18.43536988131163
2018-05-01,16.54,93.19,16.14,7.91,El Poblado,organico,5.75,28.45,44.75,33.55,fresa,17.658471999011528
2018-05-02,17.64,88.68,20.88,3.28,El Poblado,franco,6.66,98.98,23.31,58.19,zanahoria,18.468709305506678
2018-05-03,17.75,89.9,14.96,8.01,El Poblado,arenoso,6.83,30.61,72.43,37.23,espinaca,17.998465074687612
2018-05-04,17.84,88.14,15.56,18.59,El Poblado,arcilloso,6.38,40.75,69.73,144.08,zanahoria,17.76249359649742
2018-05-05,16.06,92.47,12.36,5.17,El Poblado,franco,7.41,71.59,49.12,69.76,espinaca,16.870172550142303
2018-05-06,16.85,90.42,15.35,7.87,El Poblado,organico,6.72,66.32,77.92,42.52,espinaca,17.411062589592113
2018-05-07,17.17,94.38,16.72,14.98,El Poblado,arenoso,5.94,118.89,74.9,100.91,fresa,18.707139171971544
2018-05-08,16.96,95.21,15.14,26.26,El Poblado,franco,6.46,78.95,72.79,71.77,zanahoria,18.76987508307064
2018-05-09,17.12,91.84,17.61,12.58,El Poblado,organico,6.85,52.74,19.33,48.34,tomate,18.721014058817286
2018-05-10,17.7,91.72,16.32,11.04,El Poblado,organico,6.15,110.01,30.62,27.5,lechuga,18.35269719188677
2018-05-11,17.83,92.03,14.68,6.08,El Poblado,organico,5.66,51.22,38.71,32.02,tomate,17.604134130621425
2018-05-12,18.01,89.97,17.17,18.74,El Poblado,franco,6.67,47.38,68.23,93.23,fresa,19.023374077764988
2018-05-13,16.92,96.36,16.72,13.35,El Poblado,franco,7.4,69.44,70.99,117.54,lechuga,18.584094678153285
2018-05-14,16.81,93.31,16.08,13.35,El Poblado,franco,6.47,111.32,62.6,140.35,fresa,18.25098992540942
2018-05-15,17.84,88.77,17.16,4.61,El Poblado,arcilloso,7.31,90.85,43.07,96.11,cilantro,17.84615482553544
2018-05-16,18.24,88.92,16.58,4.96,El Poblado,franco,7.17,87.75,21.33,104.85,espinaca,18.120073478447267
2018-05-17,18.56,89.87,20.36,8.36,El Poblado,franco,5.79,92.61,12.46,51.46,espinaca,19.04772088564471
2018-05-18,18.02,91.22,16.11,8.7,El Poblado,franco,6.92,85.96,58.95,55.67,fresa,18.568100394449672
2018-05-19,17.42,95.15,18.34,23.22,El Poblado,arcilloso,6.37,95.98,79.59,74.28,lechuga,19.746971936239774
2018-05-20,17.14,94.38,16.59,18.4,El Poblado,franco,6.0,39.28,34.18,132.94,cilantro,18.621223747413616
2018-05-21,17.36,91.89,12.37,4.77,El Poblado,organico,6.87,37.73,49.81,76.6,cilantro,17.61206458932876
2018-05-22,17.93,89.31,19.53,3.67,El Poblado,franco,6.99,56.22,66.74,51.15,tomate,18.352095352745074
2018-05-23,17.33,91.48,18.36,8.09,El Poblado,organico,5.86,105.1,23.05,139.53,tomate,18.341774504746386
2018-05-24,17.73,88.63,18.96,3.08,El Poblado,organico,7.33,91.45,68.07,73.49,lechuga,18.174774542456152
2018-05-25,18.65,88.36,20.26,2.67,El Poblado,organico,7.0,76.65,53.77,30.34,tomate,18.480497822198373
2018-05-26,18.15,90.98,14.36,13.34,El Poblado,arcilloso,7.37,21.94,49.89,90.91,espinaca,18.436735420808688
2018-05-27,17.87,92.53,16.71,19.01,El Poblado,arcilloso,6.13,43.58,63.36,101.44,fresa,19.072543847025127
2018-05-28,17.48,94.69,15.02,11.75,El Poblado,arcilloso,7.38,100.35,26.87,144.2,espinaca,18.484436992042685
2018-05-29,17.77,92.11,17.67,3.29,El Poblado,franco,6.24,44.25,53.03,124.86,cilantro,18.282502241781412
2018-05-30,18.36,89.22,15.37,8.53,El Poblado,organico,5.61,93.03,26.83,33.14,cilantro,17.985143561109055
2018-05-31,18.4,89.15,20.37,4.76,El Poblado,arcilloso,7.03,38.46,22.57,86.55,fresa,18.991162367779015
2018-06-01,17.2,94.28,14.28,13.37,El Poblado,arcilloso,6.91,80.64,53.63,76.43,lechuga,17.90213596802123
2018-06-02,18.22,88.11,24.0,10.65,El Poblado,franco,6.7,82.82,28.85,71.15,cilantro,19.662179051495162
2018-06-03,18.22,88.34,20.77,9.3,El Poblado,arcilloso,6.48,95.2,60.01,38.18,lechuga,18.981147329382846
2018-06-04,18.45,88.43,19.33,3.58,El Poblado,franco,5.56,63.83,46.01,68.79,espinaca,18.43699761978262
2018-06-05,18.46,86.28,16.86,3.82,El Poblado,arenoso,6.75,83.27,58.65,81.11,zanahoria,18.202867291069474
2018-06-06,18.6,86.86,18.53,1.58,El Poblado,arcilloso,6.33,68.7,72.41,48.45,zanahoria,18.001608319851872
2018-06-07,18.45,87.79,18.29,1.97,El Poblado,arenoso,6.62,114.73,19.68,94.86,tomate,17.955901237920486
2018-06-08,19.0,87.62,19.9,3.21,El Poblado,franco,6.36,72.19,14.67,48.77,fresa,18.878215462117964
2018-06-09,19.22,87.86,17.97,2.78,El Poblado,organico,7.43,40.96,37.99,35.77,tomate,18.65695462193541
2018-06-10,18.56,88.95,16.47,5.73,El Poblado,arcilloso,6.71,86.79,60.17,147.92,lechuga,18.1500939704367
2018-06-11,18.12,91.15,16.64,14.14,El Poblado,franco,7.0,74.85,72.03,109.49,zanahoria,18.656736918147793
2018-06-12,18.3,88.43,21.78,4.31,El Poblado,organico,7.37,100.38,12.44,97.32,lechuga,19.301124341782337
2018-06-13,18.4,84.42,19.86,1.98,El Poblado,organico,6.68,37.69,65.51,62.58,espinaca,18.204739562092886
2018-06-14,17.45,90.41,17.21,4.36,El Poblado,arenoso,5.52,46.09,15.28,47.08,espinaca,17.804642632828774
2018-06-15,17.51,87.01,19.13,0.37,El Poblado,franco,5.57,112.16,50.64,37.09,lechuga,17.77642846965498
2018-06-16,17.39,85.76,20.54,0.15,El Poblado,organico,6.9,113.0,34.09,28.14,espinaca,17.999200796209212
2018-06-17,18.0,86.06,21.88,2.26,El Poblado,arcilloso,6.06,64.23,11.24,110.96,fresa,18.098051373745704
2018-06-18,18.12,86.54,19.14,2.26,El Poblado,arcilloso,6.66,24.78,16.8,55.91,cilantro,18.601910524112036
2018-06-19,17.49,88.89,20.93,2.92,El Poblado,arenoso,5.9,50.66,34.76,61.36,fresa,18.40459778617626
2018-06-20,17.46,86.94,20.01,2.26,El Poblado,organico,6.04,44.71,76.76,40.93,lechuga,17.92081577126314
2018-06-21,17.35,87.32,20.44,1.9,El Poblado,franco,6.51,61.47,20.84,35.23,zanahoria,18.156718444435757
2018-06-22,17.53,88.15,19.88,11.65,El Poblado,arcilloso,7.45,51.78,29.04,84.35,cilantro,18.221987971932165
2018-06-23,17.31,90.56,22.45,9.06,El Poblado,organico,6.73,102.9,79.59,114.58,lechuga,19.28987121655308
2018-06-24,17.28,88.41,20.85,5.25,El Poblado,organico,7.37,20.3,43.64,148.82,zanahoria,18.824686190712562
2018-06-25,17.14,87.97,19.01,5.57,El Poblado,arenoso,7.42,84.46,28.36,64.13,fresa,18.236630531861064
2018-06-26,17.37,87.83,19.3,7.59,El Poblado,arcilloso,5.92,86.43,53.12,106.3,zanahoria,18.298565198321075
2018-06-27,17.7,88.62,17.59,16.31,El Poblado,arcilloso,6.12,86.06,40.52,35.09,lechuga,18.262509633035602
2018-06-28,17.34,88.92,17.44,7.79,El Poblado,franco,7.04,72.06,70.08,92.24,espinaca,17.7410334317293
2018-06-29,17.92,87.05,17.54,5.21,El Poblado,arcilloso,7.23,81.11,10.56,87.35,lechuga,17.73538376971349
2018-06-30,17.78,85.03,17.44,4.19,El Poblado,franco,6.54,101.05,79.77,24.17,fresa,17.579300375552936
2018-07-01,17.38,86.82,20.96,3.06,El Poblado,arcilloso,7.49,98.42,14.64,82.79,zanahoria,18.31329097418771
2018-07-02,17.42,88.4,18.57,4.96,El Poblado,arenoso,5.52,23.46,47.6,84.41,espinaca,17.880194025801075
2018-07-03,16.98,92.51,19.48,9.84,El Poblado,arcilloso,6.1,23.04,58.82,68.36,cilantro,18.50204520885283
2018-07-04,18.07,85.25,24.45,0.84,El Poblado,franco,6.75,103.89,48.49,94.56,fresa,18.48476295357233
2018-07-05,18.25,86.34,20.73,1.27,El Poblado,franco,6.44,77.47,31.05,25.92,tomate,18.069752559574752
2018-07-06,17.72,88.02,18.11,3.23,El Poblado,arenoso,5.73,115.74,69.88,129.78,tomate,18.19654888134724
2018-07-07,17.69,89.62,18.7,2.56,El Poblado,arcilloso,6.24,63.16,40.13,87.67,fresa,18.288669127152517
2018-07-08,17.92,85.55,21.44,0.46,El Poblado,arcilloso,5.55,37.67,31.05,24.18,fresa,18.507258572937026
2018-07-09,18.57,85.06,20.53,1.42,El Poblado,arenoso,6.79,67.32,63.78,147.89,tomate,18.111324828756892
2018-07-10,18.4,85.95,20.82,1.05,El Poblado,arcilloso,7.29,63.65,20.21,69.63,tomate,18.454969225287797
2018-07-11,17.47,85.87,22.38,2.73,El Poblado,arcilloso,7.27,71.72,24.35,148.27,zanahoria,18.501258261809316
2018-07-12,18.17,86.2,23.18,0.54,El Poblado,franco,6.9,100.79,27.69,43.44,tomate,18.606073360844988
2018-07-13,18.19,86.24,20.88,0.36,El Poblado,arcilloso,6.43,85.56,40.44,23.9,fresa,18.344621092256848
2018-07-14,17.76,85.62,23.45,1.38,El Poblado,arcilloso,6.52,38.53,11.42,112.74,zanahoria,19.028143204086774
2018-07-15,17.49,86.59,20.76,1.17,El Poblado,arenoso,5.77,93.45,79.42,142.91,espinaca,18.254531830635173
2018-07-16,18.28,86.28,22.56,2.4,El Poblado,arenoso,6.18,79.19,52.01,30.09,lechuga,18.817321955687135
2018-07-17,18.12,89.06,22.33,8.86,El Poblado,organico,5.88,77.83,77.95,115.62,zanahoria,19.48796428489939
2018-07-18,18.15,85.22,20.99,4.41,El Poblado,franco,7.14,87.83,66.52,29.0,zanahoria,18.183878699763
2018-07-19,17.76,87.97,21.04,4.19,El Poblado,arcilloso,7.33,76.4,19.4,123.21,lechuga,18.620823738734085
2018-07-20,17.8,87.19,19.68,0.71,El Poblado,arcilloso,6.57,65.75,24.63,95.56,espinaca,17.970962830826913
2018-07-21,18.27,86.92,16.49,6.88,El Poblado,organico,6.96,84.04,12.41,121.64,lechuga,17.511740084170416
2018-07-22,18.1,86.28,19.75,1.16,El Poblado,arcilloso,5.74,92.37,68.37,68.29,zanahoria,17.751973666739847
2018-07-23,18.11,87.85,17.37,3.39,El Poblado,franco,6.72,42.58,51.54,137.7,espinaca,17.692024930659542
2018-07-24,17.93,88.69,16.63,3.49,El Poblado,organico,6.91,69.7,25.05,59.35,espinaca,17.707602422123525
2018-07-25,17.81,84.73,23.49,0.55,El Poblado,franco,6.41,65.82,77.91,56.82,lechuga,18.317627441319587
2018-07-26,17.71,89.29,17.48,8.23,El Poblado,organico,5.99,23.99,61.57,144.88,lechuga,18.148212658733804
2018-07-27,18.04,87.19,17.04,6.08,El Poblado,organico,7.25,103.44,59.39,35.97,lechuga,17.947313363025028
2018-07-28,17.81,87.04,21.06,5.1,El Poblado,arenoso,6.99,57.74,28.69,97.03,cilantro,18.372146424179622
2018-07-29,18.02,86.9,19.01,1.12,El Poblado,franco,7.3,27.27,31.94,94.62,lechuga,18.24280451918262
2018-07-30,17.78,90.53,14.02,14.18,El Poblado,arcilloso,7.14,65.79,56.76,50.78,fresa,18.096520916225195
2018-07-31,17.68,86.66,13.76,5.2,El Poblado,arcilloso,7.48,36.15,51.55,61.22,fresa,16.756550119878153
2018-08-01,17.65,87.91,21.22,5.09,El Poblado,franco,5.88,90.44,55.31,57.26,cilantro,18.38911414259721
2018-08-02,17.66,86.07,20.25,9.91,El Poblado,arcilloso,5.67,77.18,71.52,129.99,fresa,18.728711606369288
2018-08-03,17.32,88.68,19.48,11.86,El Poblado,arcilloso,6.17,47.01,21.23,70.64,lechuga,18.52851296440165
2018-08-04,16.81,88.06,18.91,23.05,El Poblado,franco,5.76,115.05,18.14,66.63,cilantro,18.893774951315322
2018-08-05,15.91,88.96,10.0,2.85,El Poblado,organico,6.55,49.17,49.52,102.77,zanahoria,16.07144916591658
2018-08-06,17.94,82.29,24.55,0.32,El Poblado,franco,6.77,75.5,45.01,84.42,tomate,18.424350819054187
2018-08-07,18.29,82.94,25.11,0.25,El Poblado,organico,6.66,100.16,38.2,75.38,zanahoria,18.698935530108333
2018-08-08,18.5,83.27,24.09,4.05,El Poblado,arcilloso,6.02,71.39,73.33,112.22,tomate,19.07057117703551
2018-08-09,18.0,82.42,22.67,1.13,El Poblado,arcilloso,7.32,116.09,49.09,73.64,espinaca,18.438710962656735
2018-08-10,17.04,79.41,25.06,0.09,El Poblado,arcilloso,5.54,104.39,49.71,48.88,lechuga,18.34950784585024
2018-08-11,17.11,79.41,26.44,0.64,El Poblado,arenoso,6.2,112.1,35.65,116.44,espinaca,18.55501224377788
